,Season_Year,REGION,ILITOTAL,TOTAL PATIENTS,Season
431,22018,South Dakota,8002.0,683464.0,Season 2018-19
432,22018,Tennessee,5730.0,349716.0,Season 2018-19
433,22018,Texas,53967.0,1299001.0,Season 2018-19
434,22018,Utah,26484.0,1338183.0,Season 2018-19
435,22018,Vermont,4762.0,231811.0,Season 2018-19
436,22018,Virginia,120340.0,4497589.0,Season 2018-19
437,22018,Washington,2718.0,262014.0,Season 2018-19
438,22018,West Virginia,10646.0,567342.0,Season 2018-19
439,22018,Wisconsin,14004.0,813893.0,Season 2018-19
440,22018,Wyoming,3026.0,251825.0,Season 2018-19
441,22019,Alabama,14079.0,793784.0,Season 2019
442,22019,Alaska,1716.0,95760.0,Season 2019
443,22019,Arizona,4454.0,248918.0,Season 2019
444,22019,Arkansas,1025.0,62991.0,Season 2019
445,22019,California,11699.0,814263.0,Season 2019
446,22019,Colorado,14329.0,767720.0,Season 2019
447,22019,Connecticut,5068.0,294030.0,Season 2019
448,22019,Delaware,13.0,24650.0,Season 2019
449,22019,Georgia,32393.0,1529615.0,Season 2019
450,22019,Hawaii,785.0,36480.0,Season 2019
451,22019,Idaho,76.0,13246.0,Season 2019
452,22019,Illinois,13048.0,1012285.0,Season 2019
453,22019,Indiana,633.0,68826.0,Season 2019
454,22019,Iowa,658.0,109660.0,Season 2019
455,22019,Kansas,2207.0,241031.0,Season 2019
456,22019,Kentucky,1566.0,162253.0,Season 2019
457,22019,Louisiana,33167.0,942459.0,Season 2019
458,22019,Maine,2048.0,300574.0,Season 2019
459,22019,Maryland,5707.0,396824.0,Season 2019
460,22019,Massachusetts,8747.0,980112.0,Season 2019
461,22019,Michigan,2763.0,398584.0,Season 2019
462,22019,Minnesota,2129.0,124802.0,Season 2019
463,22019,Mississippi,6655.0,332349.0,Season 2019
464,22019,Missouri,475.0,53708.0,Season 2019
465,22019,Montana,998.0,144617.0,Season 2019
466,22019,Nebraska,2781.0,183645.0,Season 2019
467,22019,Nevada,1849.0,190495.0,Season 2019
468,22019,New Hampshire,137.0,34009.0,Season 2019
469,22019,New Jersey,12354.0,644848.0,Season 2019
470,22019,New Mexico,4417.0,411586.0,Season 2019
471,22019,New York,9147.0,1155449.0,Season 2019
472,22019,North Carolina,15606.0,1966903.0,Season 2019
473,22019,North Dakota,620.0,69484.0,Season 2019
474,22019,Ohio,1887.0,267308.0,Season 2019
475,22019,Oklahoma,1879.0,142708.0,Season 2019
476,22019,Oregon,5500.0,734588.0,Season 2019
477,22019,Pennsylvania,8058.0,984345.0,Season 2019
478,22019,Rhode Island,194.0,99176.0,Season 2019
479,22019,South Carolina,3120.0,221402.0,Season 2019
480,22019,South Dakota,1783.0,309800.0,Season 2019
481,22019,Tennessee,6569.0,370646.0,Season 2019
482,22019,Texas,11562.0,484502.0,Season 2019
483,22019,Utah,5806.0,384493.0,Season 2019
484,22019,Vermont,612.0,86052.0,Season 2019
485,22019,Virginia,26533.0,1857530.0,Season 2019
486,22019,Washington,1879.0,190950.0,Season 2019
487,22019,West Virginia,1558.0,181558.0,Season 2019
488,22019,Wisconsin,4395.0,422108.0,Season 2019
489,22019,Wyoming,385.0,62508.0,Season 2019
