REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New Jersey,2010,49,183,24,6896
States,New Mexico,2010,49,200,25,8605
States,New York,2010,49,303,103,14009
States,North Carolina,2010,49,132,75,21512
States,North Dakota,2010,49,11,18,4631
States,Ohio,2010,49,55,50,16060
States,Oklahoma,2010,49,51,15,2183
States,Oregon,2010,49,33,19,3367
States,Pennsylvania,2010,49,203,61,16584
States,Rhode Island,2010,49,42,21,6609
States,South Carolina,2010,49,29,20,5983
States,South Dakota,2010,49,64,19,5502
States,Tennessee,2010,49,122,50,11033
States,Texas,2010,49,1165,93,48474
States,Utah,2010,49,89,21,7640
States,Vermont,2010,49,48,14,4150
States,Virginia,2010,49,982,86,57786
States,Washington,2010,49,33,17,3421
States,West Virginia,2010,49,158,33,9957
States,Wisconsin,2010,49,70,46,5471
States,Wyoming,2010,49,20,27,4781
States,Alabama,2010,50,1245,36,11930
States,Alaska,2010,50,21,9,1989
States,Arizona,2010,50,488,55,24178
States,Arkansas,2010,50,89,18,4227
States,California,2010,50,1170,128,31969
States,Colorado,2010,50,174,13,19299
States,Connecticut,2010,50,20,18,3033
States,Delaware,2010,50,12,13,4083
States,Georgia,2010,50,2254,61,35755
States,Hawaii,2010,50,41,17,1632
States,Idaho,2010,50,54,12,3956
States,Illinois,2010,50,775,80,37787
States,Indiana,2010,50,98,41,10164
States,Iowa,2010,50,41,10,2736
States,Kansas,2010,50,84,41,9738
States,Kentucky,2010,50,77,13,12229
States,Louisiana,2010,50,450,34,13316
States,Maine,2010,50,20,29,5857
States,Maryland,2010,50,175,18,8713
States,Massachusetts,2010,50,316,55,28213
States,Michigan,2010,50,106,52,14027
States,Minnesota,2010,50,59,15,5081
States,Mississippi,2010,50,1529,48,17344
States,Missouri,2010,50,126,32,8936
States,Montana,2010,50,2,6,2588
States,Nebraska,2010,50,111,15,3429
States,Nevada,2010,50,440,33,10263
